business_name,category,latitude,longitude,healthcare_1km,education_1km,commercial_1km,financial_1km,transport_1km,business_activity_1km,total_demand_signals,competitor_count_1km,hotel_competitors_1km,restaurant_competitors_1km,cafe_competitors_1km,fast_food_competitors_1km,business_density_1km,demand_score,competition_pressure,competition_score,direct_competition_pressure,direct_competition_score,density_pressure,density_score,opportunity_score,opportunity_category,opportunity_rank
Atchyaa Bakery & Hotel,restaurant,10.6905585,77.9293553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,60.0,Moderate Opportunity,9
Sumathy Restaurant,restaurant,10.8869306,78.0122616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,60.0,Moderate Opportunity,9
11 to 11,hotel,11.0121979,78.0677181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,60.0,Moderate Opportunity,9
Amirtham Restaurent,restaurant,10.9716162,78.0949518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,60.0,Moderate Opportunity,9
karthick mess,hotel,10.9508614,78.058939,0,1,2,1,0,0,4,1,1,0,0,0,1,10.74074074074074,10.0,90.0,2.7777777777777777,97.22222222222223,10.0,90.0,59.74074074074075,Moderate Opportunity,15
ks mess,hotel,10.9596444,78.0736905,50,2,17,1,4,2,76,5,3,1,0,1,5,71.85185185185185,50.0,50.0,45.83333333333333,54.16666666666667,50.0,50.0,59.574074074074076,Moderate Opportunity,16
dindigul thalappakatti,hotel,10.9590008,78.0757663,50,2,13,1,4,2,72,5,3,1,0,1,5,68.14814814814814,50.0,50.0,45.83333333333333,54.16666666666667,50.0,50.0,58.09259259259259,Moderate Opportunity,17
junior kuppanna,hotel,10.9549813,78.0598726,7,1,7,2,0,1,18,4,4,0,0,0,4,29.37037037037037,40.0,60.0,11.11111111111111,88.88888888888889,40.0,60.0,53.525925925925925,Moderate Opportunity,18
karur tiffin centre,hotel,10.960503,78.0709315,45,1,18,2,3,1,70,6,4,1,0,1,6,58.47222222222222,60.0,40.0,48.611111111111114,51.388888888888886,60.0,40.0,49.666666666666664,Low Opportunity,19
aasi tea stall,cafe,10.9676127,78.0624223,16,0,8,2,0,1,27,5,5,0,0,0,5,27.740740740740744,50.0,50.0,13.88888888888889,86.11111111111111,50.0,50.0,48.31851851851852,Low Opportunity,20
dindigul velu briyani,hotel,10.9611864,78.0667735,36,1,15,2,3,2,59,7,6,0,1,0,7,61.02777777777778,70.0,30.0,41.666666666666664,58.333333333333336,70.0,30.0,48.07777777777778,Low Opportunity,21
Hotel Ammaiiyappar,restaurant,10.9244594,78.0483319,0,0,0,0,0,0,0,2,0,2,0,0,2,0.0,20.0,80.0,25.0,75.0,20.0,80.0,47.0,Low Opportunity,22
Hotel SSS,restaurant,10.9291561,78.055229,0,0,0,0,0,0,0,2,0,2,0,0,2,0.0,20.0,80.0,25.0,75.0,20.0,80.0,47.0,Low Opportunity,22
Annai Mess,restaurant,10.9288941,78.0547191,0,0,0,0,0,0,0,2,0,2,0,0,2,0.0,20.0,80.0,25.0,75.0,20.0,80.0,47.0,Low Opportunity,22
jill jill jigarthanda,fast_food,11.0749968,78.0018767,1,0,11,3,0,0,15,4,3,0,1,0,4,20.51851851851852,40.0,60.0,33.33333333333333,66.66666666666667,40.0,60.0,45.540740740740745,Low Opportunity,25
welcome tea stall,cafe,11.0751303,78.0015573,1,0,11,3,0,0,15,4,3,0,0,1,4,20.51851851851852,40.0,60.0,33.33333333333333,66.66666666666667,40.0,60.0,45.540740740740745,Low Opportunity,25
The Residency,hotel,10.9612502,78.0642685,24,1,12,3,0,2,42,7,6,0,1,0,7,51.333333333333336,70.0,30.0,41.666666666666664,58.333333333333336,70.0,30.0,44.2,Low Opportunity,27
sri ganapathi mess,hotel,10.9678629,78.0616713,11,0,8,2,0,1,22,5,4,0,1,0,5,26.074074074074076,50.0,50.0,36.111111111111114,63.888888888888886,50.0,50.0,43.20740740740741,Low Opportunity,28
muthu mess,hotel,10.9626193,78.0614777,20,1,9,2,0,1,33,6,5,0,1,0,6,35.55555555555555,60.0,40.0,38.888888888888886,61.111111111111114,60.0,40.0,42.44444444444444,Low Opportunity,29
jegan,hotel,11.0745341,78.0090448,1,0,11,3,0,0,15,4,2,0,1,1,4,20.51851851851852,40.0,60.0,55.55555555555556,44.44444444444444,40.0,60.0,41.0962962962963,Low Opportunity,30
G V N hotel,hotel,11.0752321,78.0079304,1,0,11,3,0,0,15,4,2,0,1,1,4,20.51851851851852,40.0,60.0,55.55555555555556,44.44444444444444,40.0,60.0,41.0962962962963,Low Opportunity,30
parotta shop,hotel,11.0746392,78.002077,1,0,11,3,0,0,15,4,2,0,1,1,4,20.51851851851852,40.0,60.0,55.55555555555556,44.44444444444444,40.0,60.0,41.0962962962963,Low Opportunity,30
bishmi hotel,hotel,10.9626788,78.0390524,0,1,4,3,0,0,8,6,5,0,0,1,6,19.259259259259256,60.0,40.0,38.888888888888886,61.111111111111114,60.0,40.0,35.925925925925924,Low Opportunity,33
sri sakthi mess,hotel,10.9631479,78.0590545,11,1,9,2,0,1,24,8,7,0,1,0,8,32.55555555555555,80.0,20.0,44.44444444444444,55.55555555555556,80.0,20.0,32.13333333333333,Low Opportunity,34
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19,8,6,1,0,1,8,31.888888888888886,80.0,20.0,54.166666666666664,45.833333333333336,80.0,20.0,29.92222222222222,Low Opportunity,35
GOUNDAR MESS,hotel,10.963354,78.0426686,1,1,9,5,0,0,16,8,6,1,0,1,8,30.888888888888886,80.0,20.0,54.166666666666664,45.833333333333336,80.0,20.0,29.522222222222222,Low Opportunity,36
hotel M.S,hotel,10.9630897,78.0395375,0,1,4,3,0,0,8,7,5,1,0,1,7,19.259259259259256,70.0,30.0,51.388888888888886,48.611111111111114,70.0,30.0,29.425925925925924,Low Opportunity,37
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19,8,8,1,0,1,8,31.888888888888886,80.0,20.0,59.72222222222222,40.27777777777778,80.0,20.0,28.81111111111111,Low Opportunity,38
new karur biriyani corner,hotel,10.9638334,78.0487537,4,1,9,4,0,0,18,8,6,1,0,1,8,28.555555555555554,80.0,20.0,54.166666666666664,45.833333333333336,80.0,20.0,28.588888888888892,Low Opportunity,39
Kongu mess,restaurant,10.9637461,78.0483914,4,1,9,5,0,0,19,9,8,0,0,1,9,31.888888888888886,90.0,10.0,47.22222222222222,52.77777777777778,90.0,10.0,27.31111111111111,Low Opportunity,40
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19,8,6,1,0,1,10,31.888888888888886,80.0,20.0,54.166666666666664,45.833333333333336,100.0,0.0,26.92222222222222,Low Opportunity,41
thiruppathi mess,hotel,10.9664054,78.0516404,5,0,8,4,0,0,17,8,6,1,0,1,8,22.40740740740741,80.0,20.0,54.166666666666664,45.833333333333336,80.0,20.0,26.129629629629633,Low Opportunity,42
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16,8,6,1,0,1,8,22.074074074074076,80.0,20.0,54.166666666666664,45.833333333333336,80.0,20.0,25.9962962962963,Low Opportunity,43
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19,8,8,1,0,1,10,31.888888888888886,80.0,20.0,59.72222222222222,40.27777777777778,100.0,0.0,25.81111111111111,Low Opportunity,44
ATHIRASA KADAI,fast_food,10.963981,78.0456286,4,1,10,5,0,0,20,10,9,1,0,0,10,32.81481481481482,100.0,0.0,37.5,62.5,100.0,0.0,25.625925925925927,Low Opportunity,45
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19,10,6,1,0,1,8,31.888888888888886,100.0,0.0,54.166666666666664,45.833333333333336,80.0,20.0,24.922222222222224,Low Opportunity,46
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16,8,8,1,0,1,8,22.074074074074076,80.0,20.0,59.72222222222222,40.27777777777778,80.0,20.0,24.885185185185186,Low Opportunity,47
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19,10,8,1,0,1,8,31.888888888888886,100.0,0.0,59.72222222222222,40.27777777777778,80.0,20.0,23.81111111111111,Low Opportunity,48
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16,8,6,1,0,1,10,22.074074074074076,80.0,20.0,54.166666666666664,45.833333333333336,100.0,0.0,22.9962962962963,Low Opportunity,49
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19,10,6,1,0,1,10,31.888888888888886,100.0,0.0,54.166666666666664,45.833333333333336,100.0,0.0,21.922222222222224,Low Opportunity,50
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16,8,8,1,0,1,10,22.074074074074076,80.0,20.0,59.72222222222222,40.27777777777778,100.0,0.0,21.885185185185186,Low Opportunity,51
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16,10,6,1,0,1,8,22.074074074074076,100.0,0.0,54.166666666666664,45.833333333333336,80.0,20.0,20.9962962962963,Low Opportunity,52
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19,10,8,1,0,1,10,31.888888888888886,100.0,0.0,59.72222222222222,40.27777777777778,100.0,0.0,20.81111111111111,Low Opportunity,53
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16,10,8,1,0,1,8,22.074074074074076,100.0,0.0,59.72222222222222,40.27777777777778,80.0,20.0,19.885185185185186,Low Opportunity,54
mess,hotel,10.9637284,78.0469519,4,1,9,4,0,0,18,10,8,1,0,1,10,28.555555555555554,100.0,0.0,59.72222222222222,40.27777777777778,100.0,0.0,19.477777777777778,Low Opportunity,55
shri mahalaxmi mess,hotel,10.9642789,78.0471522,4,1,9,4,0,0,18,10,8,1,0,1,10,28.555555555555554,100.0,0.0,59.72222222222222,40.27777777777778,100.0,0.0,19.477777777777778,Low Opportunity,55
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16,10,6,1,0,1,10,22.074074074074076,100.0,0.0,54.166666666666664,45.833333333333336,100.0,0.0,17.9962962962963,Low Opportunity,57
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16,10,8,1,0,1,10,22.074074074074076,100.0,0.0,59.72222222222222,40.27777777777778,100.0,0.0,16.885185185185186,Low Opportunity,58
