element,id,geometry,amenity,diet:vegetarian,name:en,phone,check_date,cuisine,name,name:ta,source,toilets,addr:postcode,addr:street,check_date:opening_hours,level,opening_hours,self_service,designation,tourism,operator,addr:city,alt_name,brand,brand:wikidata,brand:wikipedia,shop,smoking,website,addr:housenumber,email,internet_access,internet_access:ssid,rooms,addr:district,air_conditioning,delivery,indoor_seating,building
node,8107750462,POINT (78.0624223 10.9676127),cafe,,,,,,aasi tea stall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8107787299,POINT (78.0590545 10.9631479),,,,,,,sri sakthi mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107812131,POINT (78.0516404 10.9664054),,,,,,,thiruppathi mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107812619,POINT (78.0513985 10.9665251),,,,,,,ganapathy mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107926878,POINT (78.0483914 10.9637461),restaurant,,,,,,Kongu mess,,,,639008,,,,,,,,,Karur,,,,,,,,,,,,,Karur,yes,yes,yes,
node,8107926879,POINT (78.0487537 10.9638334),,,,,,,new karur biriyani corner,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107926881,POINT (78.047431 10.9638706),,,,,,,ganapathy mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107926882,POINT (78.0471522 10.9642789),,,,,,,shri mahalaxmi mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107926883,POINT (78.0469519 10.9637284),,,,,,,mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107926887,POINT (78.0456286 10.963981),fast_food,,,,,,ATHIRASA KADAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8107926888,POINT (78.0426686 10.963354),,,,,,,GOUNDAR MESS,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107926893,POINT (78.0395375 10.9630897),,,,,,,hotel M.S,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107926894,POINT (78.0390524 10.9626788),,,,,,,bishmi hotel,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107959104,POINT (78.0090448 11.0745341),,,,,,,jegan,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107967032,POINT (78.0079304 11.0752321),,,,,,,G V N hotel,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107971304,POINT (78.002077 11.0746392),,,,,,,parotta shop,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107973714,POINT (78.0018767 11.0749968),fast_food,,,,,juice,jill jill jigarthanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8107989843,POINT (78.0015573 11.0751303),cafe,,,,,,welcome tea stall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8107993412,POINT (78.0911902 10.9405458),,,,,,,sadhana tiffin stall,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,9449259917,POINT (78.0949518 10.9716162),restaurant,,Amirtham Restaurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10130903617,POINT (78.1040419 10.9474655),restaurant,,,,,,Tandoori Tribes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10860105510,POINT (78.0677181 11.0121979),,,11 to 11,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,11290119500,POINT (78.0122616 10.8869306),restaurant,yes,,,2023-10-26,,Sumathy Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12818549203,POINT (77.9293553 10.6905585),restaurant,,,,2025-05-08,indian,Atchyaa Bakery & Hotel,அட்சயா பேக்கரி & ஹோட்டல்,survey,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,13700574101,POINT (77.9192604 10.7758778),restaurant,yes,HOTEL AKSHAYA Veg,096552 44577,2026-04-02,indian,ஹோட்டல் அக்ஷயா வெஜ்,,,,639201,"NH-7 bye pass, Salem - Madurai Rd, Aravakurichi, Tamil Nadu 639201",2026-04-02,0,Mo-Su 07:00-23:00,no,,,,,,,,,,,,,,,,,,,,,
way,191266025,"POLYGON ((77.9507148 10.8215612, 77.9507067 10.8214706, 77.9510462 10.8214416, 77.9510542 10.8215323, 77.9507148 10.8215612))",restaurant,,,,,indian,Valluvar Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
